[2026-02-05 14:28:43] [DOWODCA] START
[2026-02-05 14:28:43] [OPERATOR] START
[2026-02-05 14:28:43] [DRON 3171744] START | T1=37s T2=92s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171715] START | T1=13s T2=32s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171773] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171792] START | T1=17s T2=42s T_return=8s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171785] START | T1=19s T2=47s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171743] START | T1=22s T2=55s T_return=11s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171786] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171748] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171751] START | T1=10s T2=25s T_return=5s drain=4%/s
[2026-02-05 14:28:43] [DRON 3171769] START | T1=20s T2=50s T_return=10s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171795] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171736] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171831] START | T1=21s T2=52s T_return=10s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171755] START | T1=36s T2=90s T_return=18s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171790] START | T1=18s T2=45s T_return=9s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171796] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171738] START | T1=35s T2=87s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171754] START | T1=12s T2=30s T_return=6s drain=3%/s
[2026-02-05 14:28:43] [DRON 3171759] START | T1=15s T2=37s T_return=7s drain=2%/s
[2026-02-05 14:28:43] [DRON 3171824] START | T1=34s T2=85s T_return=17s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171782] START | T1=30s T2=75s T_return=15s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171779] START | T1=24s T2=60s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171767] START | T1=25s T2=62s T_return=12s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171777] START | T1=40s T2=100s T_return=20s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171799] START | T1=32s T2=80s T_return=16s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171825] START | T1=28s T2=70s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171765] START | T1=29s T2=72s T_return=14s drain=1%/s
[2026-02-05 14:28:43] [DRON 3171758] START | T1=31s T2=77s T_return=15s drain=1%/s
